�3 04060952.csv,,Lenta-847,1614545971,120
Name,10CT G PBP -1/+1:   --- EKC состояние,10CT G PBP -1/+1:   u09 S5 Темп,11CT G OVZ +5/+8:   u69 Sair Темп,11CT G OVZ +5/+8:   u09 S5 Темп,11CT G OVZ +5/+8:   --- EKC состояние,12CT G GSR +2/+4:   u09 S5 Темп,12CT G GSR +2/+4:   u69 Sair Темп,12CT G GSR +2/+4:   --- EKC состояние,13CT G PBP -1/+1:   u69 Sair Темп,13CT G PBP -1/+1:   --- EKC состояние,13CT G PBP -1/+1:   u09 S5 Темп,14HT SH IKRA -4/-8:   u09 S5 Темп,14HT SH IKRA -4/-8:   --- EKC состояние,14HT SH IKRA -4/-8:   u17 Термостат,15CT G MSO -1/+1:   u09 S5 Темп,15CT G MSO -1/+1:   --- EKC состояние,15CT G MSO -1/+1:   u69 Sair Темп,16CT G MSO -1/+1:   u69 Sair Темп,16CT G MSO -1/+1:   u09 S5 Темп,16CT G MSO -1/+1:   --- EKC состояние,17CT G GSR +2/+4:   u09 S5 Темп,17CT G GSR +2/+4:   --- EKC состояние,17CT G GSR +2/+4:   u69 Sair Темп,18CT G PTO -1/+1:   u69 Sair Темп,18CT G PTO -1/+1:   u09 S5 Темп,18CT G PTO -1/+1:   --- EKC состояние,19CT G GSR +2/+4:   --- EKC состояние,19CT G GSR +2/+4:   u09 S5 Темп,19CT G GSR +2/+4:   u69 Sair Темп,20CT G GSR +2/+4:   u09 S5 Темп,20CT G GSR +2/+4:   u69 Sair Темп,20CT G GSR +2/+4:   --- EKC состояние,21CT G GSR +2/+4:   u09 S5 Темп,21CT G GSR +2/+4:   u69 Sair Темп,21CT G GSR +2/+4:   --- EKC состояние,22CT G GSR +2/+4:   u09 S5 Темп,22CT G GSR +2/+4:   u69 Sair Темп,22CT G GSR +2/+4:   --- EKC состояние,23CT V MSO -1/+1:   --- EKC состояние,23CT V MSO -1/+1:   u69 Sair Темп,23CT V MSO -1/+1:   u09 S5 Темп,24CT V GSR +2/+4:   --- EKC состояние,24CT V GSR +2/+4:   u69 Sair Темп,24CT V GSR +2/+4:   u09 S5 Темп,25CT V GSR +2/+4:   u09 S5 Темп,25CT V GSR +2/+4:   u69 Sair Темп,25CT V GSR +2/+4:   --- EKC состояние,26CT G MLK +2/+4:   u09 S5 Темп,26CT G MLK +2/+4:   --- EKC состояние,26CT G MLK +2/+4:   u69 Sair Темп,27CT G MLK +2/+4:   u69 Sair Темп,27CT G MLK +2/+4:   --- EKC состояние,27CT G MLK +2/+4:   u09 S5 Темп,28CT G MLK +2/+4:   --- EKC состояние,28CT G MLK +2/+4:   u69 Sair Темп,28CT G MLK +2/+4:   u09 S5 Темп,29CT G MLK +2/+4:   u09 S5 Темп,29CT G MLK +2/+4:   u69 Sair Темп,29CT G MLK +2/+4:   --- EKC состояние,30CT G GSR +2/+4:   u09 S5 Темп,30CT G GSR +2/+4:   --- EKC состояние,30CT G GSR +2/+4:   u69 Sair Темп,34CT G TRT +2/+4:   u09 S5 Темп,34CT G TRT +2/+4:   u69 Sair Темп,34CT G TRT +2/+4:   --- EKC состояние,52CT K PTO -1/+1:   u09 S5 Темп,52CT K PTO -1/+1:   u17 Термостат,52CT K PTO -1/+1:   --- EKC состояние,53K VOP POD PTO:   u17 Термостат,53K VOP POD PTO:   u09 S5 Темп,53K VOP POD PTO:   --- EKC состояние,54K VOP FAS GSR:   --- EKC состояние,54K VOP FAS GSR:   u09 S5 Темп,54K VOP FAS GSR:   u17 Термостат,55CT K GSR +2/+4:   u17 Термостат,55CT K GSR +2/+4:   u09 S5 Темп,55CT K GSR +2/+4:   --- EKC состояние,56CT K COF +5/+8:   u17 Термостат,56CT K COF +5/+8:   u09 S5 Темп,56CT K COF +5/+8:   --- EKC состояние,Gazoanalyzator:   Gas Level %,Gazoanalyzator:   Gas Level Ppm,111CT AG:   Comp A Pressure,111CT AG:   Перегрев A,111CT AG:   Comp A Req Cap,111CT AG:   Comp 2A Status,111CT AG:   Comp 3A Status,111CT AG:   Comp 1A Status,111CT AG:   Comp A Reference,111CT AG:   Comp A Capacity,111CT AG:   Cond Requested Cap,111CT AG:   Cond Running Cap,111CT AG:   Cond Ctrl Pressure,111CT AG:   Sc3 Датч нар воздуха,111CT AG:   Cond Reference
 00:50:00  01/03/2021,0,-10.89,6.89,8.72,11,7.78,8.00,14,9.89,14,10.89,-60.00,11,-6.72,9.28,11,8.11,0.00,-1.22,11,-9.28,11,-3.28,-4.22,-7.78,11,11,-2.28,-0.11,-17.72,0.00,11,-2.28,0.89,11,-3.00,1.22,11,11,-0.22,-3.61,11,-0.78,-5.39,2.61,2.61,11,0.61,11,3.00,0.78,11,-1.22,0,3.22,-2.72,2.78,2.72,11,-10.89,11,-0.39,-6.28,-0.22,11,-0.28,2.22,0,11.00,11.00,11,11,17.11,17.22,2.39,2.39,11,5.00,5.00,11,13.60,139,1.71,17.61,38,1,1,3,0.60,38,0,0,9.88,-7.78,14.77
 00:52:00  01/03/2021,11,-15.61,7.28,8.72,11,7.78,8.00,14,9.89,14,10.89,-60.00,11,-4.78,9.28,11,8.11,1.89,2.39,11,-7.61,11,-2.72,-2.11,-1.61,11,11,1.39,1.22,-6.61,0.39,11,3.78,2.78,11,1.50,2.11,11,0,0.11,-2.78,11,0.00,-4.22,3.28,3.22,11,3.72,11,3.78,1.89,11,3.39,11,-0.89,-8.61,-0.28,5.11,0,-1.39,11,0.22,1.39,1.00,11,-5.72,1.00,0,11.00,2.61,0,11,17.11,17.22,2.89,3.00,11,5.00,5.28,11,13.60,139,0.92,28.61,36,1,1,3,0.60,35,0,0,9.20,-7.78,14.77
 00:54:00  01/03/2021,11,-1.72,7.28,9.00,11,7.78,8.28,14,10.22,14,10.89,-60.00,11,-7.39,9.28,11,8.11,-1.39,-7.50,11,-2.28,0,0.50,0.00,1.78,11,0,-7.22,0.22,-1.39,1.28,11,6.11,4.22,0,3.39,3.00,11,11,-2.72,-22.50,11,-2.72,-7.78,3.89,3.72,11,-7.61,0,2.50,3.39,11,3.78,11,0.61,-0.11,-6.61,0.50,11,2.78,11,1.61,4.11,2.61,11,-4.89,-0.61,11,10.00,-1.50,0,11,17.11,17.22,3.28,3.28,11,5.00,5.28,11,13.60,139,1.40,36.11,0,2,1,1,0.60,0,0,0,10.06,-7.78,14.77
 00:56:00  01/03/2021,11,3.89,7.72,9.00,11,8.11,8.28,14,10.22,14,11.22,-60.00,11,-4.50,9.28,11,8.11,-0.28,-2.22,11,-9.72,0,-1.11,-0.61,-0.78,0,0,-3.78,0.22,2.11,2.00,11,-3.11,2.00,0,4.50,3.72,11,11,-3.50,-14.22,11,-2.72,-7.78,3.22,4.00,0,-1.61,0,2.22,4.39,0,-1.39,11,2.00,3.50,0.61,1.78,11,4.00,11,2.89,0.61,4.39,0,-1.28,-0.61,11,9.50,0.22,0,11,17.11,17.22,3.28,3.61,11,5.28,5.61,11,13.60,139,2.15,15.28,38,2,1,3,0.60,38,0,0,9.24,-7.50,14.77
 00:58:00  01/03/2021,0,8.11,7.72,9.28,11,8.11,8.28,14,10.22,14,11.22,-60.00,11,-7.22,9.28,11,8.39,1.78,2.00,11,-12.11,11,-3.28,-3.28,-8.22,11,0,-1.11,0.78,3.72,2.72,11,-0.22,2.61,0,-0.22,3.72,0,11,-2.72,-9.28,11,-1.11,-5.50,-0.50,2.61,0,-2.50,0,2.22,1.89,11,-8.11,0,4.61,2.22,3.50,3.00,11,3.39,0,4.00,-7.89,2.61,0,0.00,-0.28,11,8.89,-4.72,0,11,17.11,17.22,3.72,3.61,11,5.28,5.61,11,13.60,139,1.67,18.39,100,3,3,3,0.60,100,0,0,12.05,-7.50,14.77
 01:00:00  01/03/2021,0,-7.11,7.39,5.39,0,8.11,8.61,14,10.50,14,11.22,-60.00,11,-4.00,9.28,11,8.39,-2.39,-12.72,11,-5.11,11,-1.00,-3.28,-4.72,11,11,-15.50,-1.89,4.00,3.28,11,-11.28,-1.11,11,-16.28,1.22,11,11,-1.72,-6.28,11,-0.22,-4.28,-6.22,0.00,11,-11.72,11,-1.28,0.00,11,-6.78,11,-1.61,-14.11,-2.00,2.61,0,-8.50,0,1.72,-10.61,0.00,11,0.61,0.00,11,8.39,0.39,11,11,17.11,17.22,3.72,3.89,11,5.28,5.61,11,13.60,139,0.66,28.17,85,3,3,3,0.60,86,0,0,13.60,-7.50,14.77
 01:02:00  01/03/2021,11,-16.61,4.28,-12.00,11,8.39,8.61,4,10.50,14,11.22,-60.00,11,-7.61,9.61,11,8.39,-2.39,-7.00,11,-7.11,0,-1.61,-1.00,0.50,11,11,-6.00,-1.11,4.00,3.72,11,-0.78,1.11,11,-8.00,0.11,11,11,-0.72,-4.39,0,-0.89,-5.00,-0.22,1.00,11,-3.11,11,1.28,1.39,11,1.50,11,-1.11,-3.39,-9.50,-0.89,11,-13.00,11,-0.28,-0.72,1.11,11,1.11,0.00,11,8.78,7.22,11,11,17.11,17.22,4.00,3.89,11,5.61,5.61,11,13.60,139,1.27,16.56,38,1,1,3,0.60,33,0,0,9.41,-7.50,14.77
 01:04:00  01/03/2021,11,-2.72,3.22,-6.61,11,8.39,8.61,4,10.50,14,11.22,-60.00,11,-4.00,9.61,11,8.39,0.00,-1.11,11,-8.72,11,-3.78,-0.11,2.28,0,11,-0.28,0.22,4.00,4.00,0,4.39,3.00,11,-1.72,0.78,11,11,0.00,-3.39,11,-3.00,-9.50,1.78,1.89,11,1.78,11,3.00,2.61,11,3.89,11,0.78,2.11,-1.39,0.78,11,-2.11,11,0.39,3.72,2.50,11,1.11,0.50,11,9.61,9.22,11,11,17.11,17.22,3.00,-0.78,0,5.61,5.89,11,13.60,139,1.03,23.78,41,1,1,3,0.60,38,0,0,7.99,-7.50,14.77
 01:06:00  01/03/2021,11,4.72,3.50,0.00,11,8.39,8.61,4,10.50,14,11.22,-60.00,11,-6.72,9.61,11,8.39,2.00,2.39,11,-2.39,11,0.00,-0.89,-0.89,0,0,3.11,1.50,-8.78,3.11,0,5.39,4.00,0,2.00,1.72,11,0,-0.50,-8.22,11,-1.22,-6.00,2.78,2.72,11,4.00,11,3.78,4.00,11,3.89,11,3.11,3.72,2.72,2.50,11,2.61,11,1.72,4.22,4.22,0,1.72,0.78,11,10.11,10.00,11,11,17.11,17.22,1.00,-3.50,11,5.61,5.89,11,13.60,139,0.84,22.83,0,1,2,1,0.60,0,0,0,7.30,-4.89,14.77
 01:08:00  01/03/2021,0,8.28,4.11,4.50,11,-3.89,8.28,0,10.50,4,11.22,-60.00,0,-3.61,9.61,11,8.39,1.28,1.39,0,-3.00,0,1.22,-0.61,-0.22,0,14,1.61,2.00,-4.11,3.11,14,-0.39,2.22,0,3.72,2.72,11,11,-2.28,-13.61,11,-0.39,-4.50,3.50,3.28,11,-4.78,0,3.78,2.50,0,-7.00,0,4.11,-3.39,1.28,4.78,0,4.00,11,2.61,-7.61,2.28,0,1.72,1.11,11,10.72,10.72,11,11,17.11,17.22,1.72,1.28,11,5.61,5.89,11,13.60,139,2.07,14.56,38,1,2,3,0.60,38,0,0,9.16,-4.89,14.77
 01:10:00  01/03/2021,0,-8.39,4.78,6.72,11,1.00,7.22,0,10.50,4,10.00,-60.00,11,-6.22,9.61,11,8.39,-0.61,-2.22,11,-7.28,0,0.78,-2.22,-3.50,11,14,3.50,2.78,0.89,3.50,14,3.00,3.22,0,4.39,3.50,11,11,-4.39,-18.72,11,0.00,-4.00,4.00,3.78,11,-2.22,11,2.11,1.78,11,-1.39,11,1.89,-0.72,-2.78,2.61,0,4.00,0,4.11,-1.61,2.00,11,2.22,1.11,11,11.22,9.89,0,11,17.11,17.22,2.50,2.50,11,5.89,5.89,11,13.60,139,0.64,29.11,35,1,1,3,0.60,34,0,0,8.41,-4.89,14.77
 01:12:00  01/03/2021,11,-16.39,5.50,7.72,11,-19.39,2.72,0,10.22,0,9.22,-60.00,0,-5.22,9.61,11,8.39,0.89,1.00,11,-15.72,11,-2.78,-0.89,-0.22,11,14,4.78,3.72,3.61,3.89,14,2.72,3.22,0,4.00,4.11,0,11,-3.61,-11.28,0,-0.89,-5.39,0.00,3.39,0,2.50,11,3.39,2.72,11,3.72,11,2.72,3.50,-7.39,0.72,11,-11.39,0,2.89,3.78,3.11,11,2.22,1.50,11,10.61,0.28,0,11,17.11,17.22,2.89,3.00,11,5.89,6.22,11,13.60,139,1.10,23.61,57,3,1,3,0.60,56,0,0,8.63,-4.89,14.77
 01:14:00  01/03/2021,11,-2.50,6.11,8.22,11,-19.00,-0.28,11,6.61,0,-7.89,-60.00,11,-6.11,9.61,11,8.39,0.61,2.28,0,-9.22,11,-1.50,-0.89,1.28,0,14,5.22,4.39,4.72,4.50,14,-13.39,-1.11,11,-11.50,1.61,0,11,-2.28,-8.28,11,-3.00,-9.39,-9.11,0.11,11,4.28,0,4.39,4.11,11,4.28,0,4.22,2.00,-5.22,-0.50,11,-13.78,11,0.11,-2.22,4.22,0,2.50,1.50,11,9.50,-5.72,0,11,17.11,17.22,3.22,3.28,11,5.89,6.22,11,13.60,139,1.35,22.22,93,3,3,3,0.60,93,0,0,9.50,-4.89,14.77
 01:16:00  01/03/2021,11,4.61,6.61,8.50,11,-5.50,1.22,11,2.61,0,-18.11,-60.00,0,-5.22,9.61,11,8.11,-3.61,-13.22,11,-4.78,0,-0.22,-4.78,-11.39,11,14,5.61,4.89,5.28,4.89,14,-3.78,0.72,11,-13.72,0.11,11,11,-1.39,-6.00,11,-1.28,-6.39,-1.61,0.89,11,-15.11,11,-1.61,0.72,11,-12.78,11,-2.00,-13.28,1.00,1.72,11,-2.50,11,0.72,-13.89,0.11,11,2.50,1.89,11,8.28,-7.50,11,11,17.11,17.22,3.22,3.28,11,5.89,6.22,11,13.60,139,0.39,30.22,0,1,2,1,0.60,0,0,0,12.82,-4.89,14.77
 01:18:00  01/03/2021,0,8.28,6.89,8.78,11,0.00,3.00,11,0.28,0,-15.50,-60.00,11,-5.22,9.22,11,8.11,-1.50,-4.72,11,-10.61,11,-4.72,-3.22,-5.00,11,14,6.00,5.28,5.72,5.22,14,3.28,2.78,11,-3.72,0.39,11,11,-0.72,-4.22,11,-0.39,-4.61,1.22,1.72,11,-9.28,11,-0.61,-0.50,11,-9.11,11,-0.89,-3.22,3.50,3.00,11,2.61,11,1.72,-4.11,0.11,11,2.78,1.89,0,8.28,3.89,11,11,17.11,17.22,3.61,3.72,11,5.61,3.50,0,13.60,139,1.91,18.56,38,1,1,3,0.60,38,0,0,9.67,-4.89,14.77
 01:20:00  01/03/2021,0,-7.22,7.28,8.78,11,3.61,4.11,11,-1.00,11,-14.11,-60.00,11,-6.00,9.22,11,7.78,0.50,0.11,11,-6.11,11,-1.89,-1.50,-0.11,11,14,6.00,5.61,5.72,5.22,14,6.00,4.00,0,0.50,1.28,11,11,0.00,-3.22,0,0.11,-3.78,2.50,2.50,11,-0.89,11,1.72,0.78,11,-0.61,11,0.89,2.28,-5.11,3.00,0,3.89,11,2.89,2.50,1.39,11,-2.11,1.39,0,8.78,8.11,11,11,17.11,17.22,3.61,3.72,11,3.78,0.89,11,13.60,139,1.01,24.94,49,1,1,3,0.60,50,0,0,9.80,-4.89,14.77
 01:22:00  01/03/2021,11,-17.28,7.28,8.78,11,-8.89,2.89,0,-0.11,11,-3.89,-60.00,11,-4.72,8.89,11,7.78,1.89,3.00,0,-5.22,0,-0.11,0.11,2.50,0,14,6.00,5.89,6.00,5.72,14,-14.22,-1.22,11,3.00,2.39,11,0,-0.78,-8.72,11,-3.28,-9.11,3.22,3.22,11,2.89,11,3.28,2.11,11,3.61,11,3.39,3.78,-7.28,-0.78,11,1.50,0,4.22,4.11,3.39,11,-0.72,0.39,0,9.50,9.39,11,11,17.11,17.22,3.89,3.72,11,3.78,3.00,11,13.60,139,1.07,27.22,62,1,3,3,0.60,62,0,0,10.06,-4.89,14.77
 01:24:00  01/03/2021,11,-3.50,7.72,9.11,11,-6.78,2.50,0,1.11,11,-0.28,-60.00,11,-7.39,8.89,11,7.78,-1.22,-4.61,11,-10.72,11,-2.28,-3.28,-4.28,11,14,6.39,5.89,6.00,5.72,14,-6.72,-0.28,11,4.11,3.28,11,11,-3.61,-22.00,11,-1.78,-6.89,3.89,3.78,11,4.28,0,4.28,3.50,11,4.00,11,1.39,-9.78,0.00,1.00,11,-16.22,0,2.28,-5.50,3.39,0,-0.72,0.39,0,10.11,10.11,11,11,17.11,17.22,3.89,4.00,11,4.11,3.89,11,13.60,139,0.92,29.61,62,1,3,3,0.60,69,0,0,10.71,-4.89,14.77
 01:26:00  01/03/2021,11,4.28,7.72,9.11,11,-16.00,-0.11,11,2.11,0,2.61,-60.00,11,-4.22,8.89,11,7.78,0.28,-1.00,11,-3.39,0,0.50,-3.00,-4.28,11,14,6.39,6.28,6.00,6.00,14,1.39,1.78,11,4.72,4.00,11,11,-3.11,-12.11,11,-0.72,-5.00,1.78,3.11,0,-17.28,11,-1.39,3.50,0,-8.50,11,-0.78,-6.22,3.22,2.50,11,-12.50,11,0.22,-12.72,-0.28,11,-5.72,-0.61,11,10.72,10.72,11,11,17.11,17.22,3.89,4.00,0,4.39,4.28,11,13.60,139,0.46,29.61,61,1,3,3,0.60,59,0,0,11.18,-8.00,14.77
 01:28:00  01/03/2021,11,8.11,8.00,9.11,0,-4.11,1.39,11,-0.22,11,-14.39,-60.00,11,-7.11,8.89,11,7.78,2.22,2.39,0,-11.61,11,-4.61,-1.11,0.39,11,14,6.72,6.28,6.39,6.00,14,5.39,3.39,11,-10.39,2.28,0,11,-2.22,-7.89,11,0.00,-4.11,-8.89,-0.61,11,-9.28,11,-0.78,-0.72,11,-13.11,11,0.72,1.22,-2.50,4.61,0,-2.00,11,0.61,-2.39,0.00,11,-1.50,-0.61,11,11.11,9.78,0,11,17.11,17.22,2.00,-4.11,0,4.39,4.61,11,13.60,139,0.95,24.89,85,3,3,3,0.60,85,0,0,13.43,-8.00,14.77
 01:30:00  01/03/2021,0,-0.22,4.78,-10.72,11,0.78,3.11,11,-1.11,11,-9.28,-60.00,0,-4.00,8.89,11,7.78,-3.50,-14.22,11,-6.72,11,-2.50,-0.22,2.22,0,14,6.72,6.61,6.39,6.28,14,-2.22,2.50,0,-9.78,0.72,11,11,-1.22,-5.61,11,-3.11,-8.78,-1.78,0.22,11,-1.11,11,1.50,0.22,11,-2.22,11,2.39,3.78,-9.28,-1.11,11,2.61,11,1.89,3.11,1.61,11,-0.11,-0.61,11,10.50,-1.72,0,11,17.11,17.22,1.50,0.72,11,4.72,4.61,11,13.60,139,0.56,28.94,78,3,3,3,0.60,81,0,0,13.82,-8.00,14.77
 01:32:00  01/03/2021,0,-15.78,3.22,-11.39,11,3.72,4.00,11,0.00,11,-1.78,-60.00,11,-6.89,8.89,11,7.78,-2.22,-5.72,11,-3.00,0,0.50,-4.00,-8.39,11,14,6.72,6.61,6.39,6.28,14,-12.00,-1.22,11,-2.00,1.22,11,11,-0.39,-4.11,11,-2.28,-7.78,1.00,1.28,11,2.78,11,3.11,1.61,11,3.00,0,4.61,-1.78,-1.22,0.28,11,4.22,11,3.11,4.22,3.39,11,0.50,-0.22,11,9.39,-6.89,0,11,17.11,17.22,2.22,2.28,11,4.72,4.89,11,13.60,139,2.18,12.89,18,1,1,1,0.60,38,0,0,8.98,-8.00,14.77
 01:34:00  01/03/2021,11,-7.72,3.22,-2.11,11,-12.39,2.00,0,1.22,11,2.22,-60.00,0,-3.89,8.89,11,7.78,0.39,-0.78,11,-10.61,11,-3.22,-2.28,-2.22,11,14,6.72,6.61,6.72,6.61,14,-0.78,1.11,11,2.00,2.22,11,0,0.11,-3.11,11,-0.78,-5.39,2.22,2.22,11,4.22,0,4.22,3.11,11,3.89,11,0.22,-6.50,2.72,2.22,11,-1.39,0,4.28,-9.72,3.39,0,1.00,-0.22,11,8.22,-0.78,11,11,17.11,17.22,2.78,2.89,11,5.00,4.89,11,13.60,139,0.84,25.56,29,1,1,3,0.60,29,0,0,8.81,-8.00,14.77
 01:36:00  01/03/2021,11,2.22,3.89,2.22,11,-5.72,2.00,11,2.11,0,3.72,-60.00,11,-5.61,8.89,11,7.78,2.00,2.50,11,-3.72,11,-0.50,-0.72,1.61,11,14,7.00,6.89,6.72,6.61,14,4.39,2.61,11,3.72,2.89,11,0,-1.28,-14.50,11,0.00,-4.22,3.00,2.78,11,-6.28,0,2.61,4.11,0,3.39,11,1.28,1.39,3.61,4.39,0,-14.00,11,1.39,-9.00,1.50,11,1.28,0.28,11,8.50,5.50,11,11,17.11,17.22,3.11,3.22,11,5.00,5.28,11,13.60,139,0.77,26.50,34,1,1,3,0.60,33,0,0,8.07,-7.22,14.77
 01:38:00  01/03/2021,11,7.39,4.72,5.61,11,1.22,3.28,11,2.11,0,1.28,-60.00,11,-5.89,8.89,11,7.78,-1.00,-4.00,11,-8.72,0,-0.11,-0.72,2.00,0,14,7.00,6.89,6.72,6.89,14,6.50,4.22,0,4.50,3.78,11,11,-3.50,-17.11,0,-1.72,-6.00,3.61,3.39,11,0.50,0,2.89,2.89,0,-3.78,11,3.11,3.89,-5.61,2.11,0,-6.00,11,0.72,0.61,2.22,11,1.28,0.61,11,9.22,8.72,11,11,17.11,17.22,3.39,3.22,11,5.00,5.28,11,13.60,139,0.69,28.94,36,1,1,3,0.60,36,0,0,8.34,-7.22,14.77
 01:40:00  01/03/2021,0,0.72,5.28,7.11,11,0.78,4.22,0,2.61,0,2.50,-60.00,11,-5.89,8.89,11,7.78,0.22,-1.11,11,-14.22,0,-1.11,-2.11,-1.50,11,14,7.00,6.89,6.72,6.89,14,4.61,4.22,0,3.72,4.28,0,11,-2.89,-10.22,11,-2.11,-7.28,4.11,4.00,11,3.61,0,3.72,2.89,0,0.89,0,5.28,0.72,-0.72,2.11,11,1.11,11,1.72,4.28,3.78,11,1.72,0.61,11,9.72,9.72,11,11,17.11,17.22,3.39,3.61,11,5.28,5.28,11,13.60,139,1.05,24.72,53,3,1,3,0.60,52,0,0,8.63,-7.22,14.77
 01:42:00  01/03/2021,0,-15.72,5.89,7.89,11,-14.50,1.11,11,1.61,0,-8.22,-60.00,11,-6.50,8.89,11,7.78,2.00,2.28,11,-13.61,11,-3.28,-3.39,-4.78,11,14,7.00,7.22,6.72,6.89,14,-6.39,2.00,11,-5.39,3.50,0,11,-1.89,-6.89,11,-0.72,-5.22,-3.89,2.28,0,-7.39,0,2.39,1.28,11,-9.72,11,0.61,-10.11,3.22,3.39,11,4.11,11,2.89,-4.78,3.28,0,2.00,1.11,11,10.39,10.28,11,11,17.11,17.22,3.39,3.61,11,5.28,5.61,11,13.60,139,1.43,22.39,100,3,3,3,0.60,100,0,0,13.90,-7.22,14.77
 01:44:00  01/03/2021,11,-7.72,6.39,8.28,11,-8.61,0.11,11,-1.39,11,-19.00,-60.00,11,-4.61,8.89,11,7.78,-3.50,-14.61,11,-4.39,11,-0.22,-1.61,0.00,11,14,7.00,7.22,6.72,6.89,14,-9.22,-0.50,11,-18.39,0.50,11,11,-1.00,-5.00,11,0.00,-4.22,-8.00,-1.11,11,-12.11,11,-1.39,0.00,11,-6.50,11,-2.28,-6.78,-3.78,2.39,0,4.11,0,4.22,-13.11,-0.28,11,2.00,1.11,11,10.89,10.89,11,11,17.11,17.22,3.78,3.89,11,5.28,5.61,11,13.60,139,0.71,31.56,0,1,2,1,0.60,0,0,0,11.44,-7.22,14.77
 01:46:00  01/03/2021,11,2.22,6.78,8.61,11,-1.39,1.72,11,-1.39,11,-6.61,-60.00,11,-7.28,8.89,11,7.78,-2.89,-6.39,11,-7.78,0,-1.78,0.00,2.39,11,14,7.28,7.22,7.00,7.22,14,0.28,1.28,11,-6.78,0.11,11,11,-0.28,-3.61,11,-2.11,-8.78,-1.61,-0.22,11,-3.00,11,0.72,1.11,11,1.00,11,-0.39,0.50,-8.89,-0.89,11,-9.22,0,2.28,-2.39,0.28,11,2.39,1.50,11,10.89,4.39,0,11,17.11,17.22,3.78,3.89,11,5.61,5.61,11,13.60,139,1.48,23.11,38,1,1,3,0.60,38,0,0,9.84,-7.50,14.77
 01:48:00  01/03/2021,11,7.39,7.11,8.61,11,2.72,3.11,11,-0.11,11,-1.11,-60.00,11,-4.00,8.89,11,7.78,-0.39,-1.28,11,-7.78,11,-4.00,-2.61,-5.28,11,4,7.28,7.22,7.00,7.22,4,4.78,3.11,11,-1.28,0.78,11,0,0.11,-3.28,11,-3.39,-8.78,0.78,0.78,11,1.78,11,2.61,2.22,11,3.72,11,1.28,3.39,-1.11,0.61,11,-11.00,11,0.11,3.22,1.89,11,2.39,1.50,11,10.00,-5.50,0,11,17.11,17.22,3.78,3.89,11,5.61,5.89,11,13.60,139,0.46,35.83,13,1,1,3,0.60,19,0,0,9.45,-7.50,14.77
 01:50:00  01/03/2021,0,-1.11,7.39,8.89,11,3.61,4.22,0,1.11,11,2.28,-60.00,11,-7.22,8.89,11,7.78,1.78,2.11,11,-1.78,0,0.11,-1.61,-1.11,11,4,7.28,7.50,7.00,7.22,4,3.11,3.61,0,2.22,1.78,11,11,-2.22,-14.61,11,-1.39,-5.89,2.00,1.89,11,4.11,11,3.72,3.78,11,3.72,0,4.61,3.39,2.89,2.61,11,-1.11,11,0.89,4.22,3.78,11,2.78,1.89,11,8.89,-7.89,11,11,17.11,17.22,3.78,2.22,0,5.61,5.89,11,13.60,139,2.71,14.00,38,1,1,1,0.60,38,0,0,7.34,-7.50,14.77
 01:52:00  01/03/2021,0,-15.78,7.39,8.89,11,-11.50,2.11,0,2.22,0,3.61,-60.00,0,-4.00,8.89,11,7.78,0.89,-0.50,0,-7.72,0,0.11,0.11,2.11,0,0,6.78,7.50,6.11,7.22,0,1.28,3.28,0,3.61,2.78,11,11,-3.72,-16.00,11,-0.50,-4.72,2.78,2.61,11,-6.39,0,3.72,3.28,0,-5.50,11,0.39,-7.78,0.11,4.89,0,3.28,11,2.11,-5.00,3.22,0,2.78,1.89,0,8.28,3.00,11,11,17.11,17.22,2.78,2.61,0,5.61,5.89,11,13.60,139,1.59,22.17,71,3,1,3,0.60,69,0,0,9.76,-7.50,14.77
 01:54:00  01/03/2021,11,-7.22,7.78,9.22,11,-6.78,1.11,11,0.50,0,-10.39,-60.00,11,-6.11,8.89,11,7.78,-2.89,-9.72,11,-11.39,11,-3.72,-2.78,-8.00,11,0,-8.89,5.78,-9.39,5.78,0,-7.50,1.61,11,4.28,3.50,11,11,-3.11,-10.22,11,0.00,-4.00,3.39,3.11,11,-11.78,11,-0.39,0.78,11,-11.72,11,0.78,-1.39,-8.39,0.11,11,4.00,11,3.28,-8.89,1.22,11,-3.11,1.39,0,8.89,7.89,11,11,17.11,17.22,2.11,-2.28,0,5.89,6.22,11,13.60,139,1.45,17.17,100,3,3,3,0.60,100,9,0,15.32,-7.50,14.77
 01:56:00  01/03/2021,11,0.72,7.78,9.22,11,-0.89,2.61,11,-1.22,11,-13.72,-60.00,0,-4.28,8.89,11,7.78,-1.78,-3.72,11,-7.78,11,-2.78,-4.11,-8.00,11,0,-17.39,1.78,-17.00,2.39,0,-10.72,-0.89,11,4.28,4.00,0,11,-2.11,-7.22,11,-2.50,-7.61,3.78,3.61,11,-7.72,11,0.39,0.00,11,-10.00,11,2.00,3.28,-4.00,0.11,11,-2.50,0,4.22,-4.78,0.39,11,-6.72,-0.11,11,9.61,9.39,11,11,17.11,17.22,1.39,0.50,11,5.89,6.22,11,13.60,139,2.04,14.83,0,1,2,1,0.60,0,0,0,9.20,-5.28,14.77
